PartitionKey,RowKey,team_name
ORG,1,AI프로젝트매니징팀
ORG,2,API개발팀
ORG,3,CISO팀
ORG,4,CTO팀
ORG,5,DBA
ORG,6,DBA팀
ORG,7,DevOps팀
ORG,8,IT관리팀
ORG,9,PM팀
ORG,10,PO팀
ORG,11,QA팀
ORG,12,SRE팀
ORG,13,UX팀
ORG,14,결제시스템팀
ORG,15,고객서비스팀
ORG,16,기술문서팀
ORG,17,기술연구팀
ORG,18,기술위원회
ORG,19,기술이사팀
ORG,20,기술인사팀
ORG,21,기술팀
ORG,22,데이터팀
ORG,23,머신러닝팀
ORG,24,모니터링엔지니어
ORG,25,모바일개발팀
ORG,26,배포팀
ORG,27,백엔드개발팀
ORG,28,법무팀
ORG,29,보안감사팀
ORG,30,보안팀
ORG,31,성능테스트팀
ORG,32,성능팀
ORG,33,시스템관리팀
ORG,34,시스템아키텍트팀
ORG,35,시스템운영팀
ORG,36,아키텍처팀
ORG,37,연동개발팀
ORG,38,영업팀
ORG,39,외부서비스모니터링팀
ORG,40,외부파트너
ORG,41,운영팀
ORG,42,인사팀
ORG,43,인증개발팀
ORG,44,인프라운영팀
ORG,45,인프라팀
ORG,46,장애대응팀
ORG,47,주니어개발팀
ORG,48,컴플라이언스팀
ORG,49,테스트자동화팀
ORG,50,통합개발팀
ORG,51,품질관리팀
ORG,52,프론트엔드개발팀
